0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Murder (Sec.302 IPC),,,"Culpable Homicide not
amounting to Murder
(Sec.304 IPC)",,,Causing Death by Negligence,,,,,
,,,,,,,,"Causing Death by Negligence
(Sec.304-A IPC) (Total)",,,,,
29 West Bengal 12062 13557 12.5 1880 2030 1.9 1 0 0.0,,,,,,,,,,,,,
TOTAL STATE(S) 50882 54980 3.9 7265 7639 0.6 2038 0 0.2,,,,,,,,,,,,,
UNION TERRITORIES:,,,,,,,,,,,,,
30 A&N Islands 8 8 2.0 4 6 1.0 2 0 0.5,,,,,,,,,,,,,
31 Chandigarh 46 46 3.9 3 3 0.3 4 0 0.3,,,,,,,,,,,,,
32 D&N Haveli 3 3 0.6 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
33 Daman & Diu 5 6 1.3 4 5 1.0 0 0 0.0,,,,,,,,,,,,,
34 Delhi 529 552 2.7 709 792 3.6 9 0 0.0,,,,,,,,,,,,,
35 Lakshadweep 0 0 0.0 0 0 0.0 1 0 1.5,,,,,,,,,,,,,
36 Puducherry 16 16 1.1 2 2 0.1 21 0 1.4,,,,,,,,,,,,,
"TOTAL UT(S) 607 631 2.6 722 808 3.1 37 0 0.2
TOTAL ALL INDIA 51489 55611 3.9 7987 8447 0.6 2075 0 0.2",,,,,,,,,,,,,
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,"Miscarriage, Infanticide,
Foeticide and Abandonment
(Sec.313 to 318 IPC)",,,Hurt,,,,,,,,
,,,,,Hurt (Simple +Grievous),,,Simple Hurt,,,,,
,,,,,,,,Simple Hurt (Total),,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,48,49,50,51,52,53,54,55,56,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 39 40 0.2 22317 24413 42.9 20835 22537 40.0,,,,,,,,,,,,,
2 Arunachal Pradesh 0 0 0.0 377 380 25.3 194 196 13.0,,,,,,,,,,,,,
3 Assam 36 36 0.2 19975 20233 58.7 8021 8154 23.6,,,,,,,,,,,,,
4 Bihar 21 21 0.0 100462 106789 84.9 91383 97124 77.2,,,,,,,,,,,,,
5 Chhattisgarh 48 50 0.3 15600 17449 54.8 14739 16376 51.8,,,,,,,,,,,,,
6 Goa 2 2 0.3 376 449 24.5 284 336 18.5,,,,,,,,,,,,,
7 Gujarat 149 149 0.5 10087 10739 15.0 7754 8227 11.5,,,,,,,,,,,,,
8 Haryana 94 95 0.7 6106 6160 21.5 4601 4638 16.2,,,,,,,,,,,,,
9 Himachal Pradesh 13 13 0.4 3234 3248 44.5 2889 2901 39.7,,,,,,,,,,,,,
10 Jammu & Kashmir 22 24 0.3 3043 3208 22.7 2932 3073 21.8,,,,,,,,,,,,,
11 Jharkhand 8 8 0.0 8012 8598 21.6 6064 6350 16.4,,,,,,,,,,,,,
